Day Of Week,Month,Day,Year,Description,Notes,Region,Country,Province,Date Formatted
Monday,Jan,16,2023,Pongal / Thiruvalluvar Day,,APAC,India,Chennai,01/16/2023
Monday,Jan,23,2023,Nethaji Birthday,,APAC,India,Kolkata,01/23/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Bangalore,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Chennai,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Delhi/Gurgaon,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Gandhinagar,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Hyderabad,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Kolkata,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Mumbai/Pune,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Noida,01/26/2023
Thursday,Jan,26,2023,Republic Day,,APAC,India,Trivandrum,01/26/2023
Tuesday,Mar,7,2023,Holi / Dhuleti / Doljatra,,APAC,India,Kolkata,03/07/2023
Tuesday,Mar,7,2023,Holi / Dhuleti / Doljatra,,APAC,India,Mumbai/Pune,03/07/2023
Wednesday,Mar,8,2023,Holi / Dhuleti,,APAC,India,Delhi/Gurgaon,03/08/2023
Wednesday,Mar,8,2023,Holi / Dhuleti,,APAC,India,Gandhinagar,03/08/2023
Wednesday,Mar,8,2023,Holi / Dhuleti,,APAC,India,Noida,03/08/2023
Wednesday,Mar,22,2023,Gudi Padwa / Ugadi,,APAC,India,Bangalore,03/22/2023
Wednesday,Mar,22,2023,Gudi Padwa / Ugadi,,APAC,India,Hyderabad,03/22/2023
Wednesday,Mar,22,2023,Gudi Padwa / Ugadi,,APAC,India,Mumbai/Pune,03/22/2023
Friday,Apr,14,2023,Ambedkar Jayanthi / Tamil New Year/ Vishu,,APAC,India,Chennai,04/14/2023
Friday,Apr,14,2023,Ambedkar Jayanthi / Tamil New Year/ Vishu,,APAC,India,Noida,04/14/2023
Friday,Apr,14,2023,Ambedkar Jayanthi / Tamil New Year/ Vishu,,APAC,India,Trivandrum,04/14/2023
Friday,Apr,21,2023,Ramzan - Id ul Fitr,,APAC,India,Trivandrum,04/21/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Bangalore,05/01/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Chennai,05/01/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Hyderabad,05/01/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Kolkata,05/01/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Mumbai/Pune,05/01/2023
Monday,May,1,2023,May Day / Maharashtra Day,,APAC,India,Trivandrum,05/01/2023
Friday,Jun,2,2023,Telangana Formation Day,,APAC,India,Hyderabad,06/02/2023
